dataid,local_15min,air1,clotheswasher_dryg1,dishwasher1,disposal1,furnace1,grid,kitchenapp1,kitchenapp2,microwave1,refrigerator1,solar
9836,944.25,0,0.004,0,0,0.007,0.193,0,0.007,0.005,0.012,-0.001
9836,944.5,0,0.004,0,0,0.007,0.262,0,0.007,0.005,0.089,0.017
9836,944.75,0,0.004,0,0,0.007,0.181,0,0.007,0.005,0.046,0.041
9836,945,0,0.004,0,0,0.007,0.175,0,0.007,0.005,0.03,0.056
9836,945.25,0,0.004,0,0,0.007,0.182,0,0.007,0.005,0.095,0.076
9836,945.5,0,0.004,0,0,0.007,0.16,0,0.007,0.005,0.091,0.132
9836,945.75,0,0.004,0,0,0.007,0.064,0,0.007,0.005,0.047,0.164
9836,946,0,0.004,0,0,0.007,-0.013,0,0.007,0.005,0.009,0.243
9836,946.25,0,0.004,0,0,0.007,-0.124,0,0.007,0.005,0.033,0.388
9836,946.5,0,0.004,0,0,0.007,-0.156,0,0.007,0.005,0.094,0.459
9836,946.75,0,0.004,0,0,0.007,-0.209,0,0.007,0.005,0.094,0.523
9836,947,0,0.004,0,0,0.007,-0.289,0,0.007,0.005,0.091,0.59
9836,947.25,0,0.004,0,0,0.007,-0.391,0,0.007,0.005,0.039,0.656
9836,947.5,0,0.004,0,0,0.007,-0.462,0,0.007,0.005,0.009,0.714
9836,947.75,0,0.004,0,0,0.007,-0.491,0,0.007,0.005,0.046,0.769
9836,948,0,0.004,0,0,0.007,-0.527,0,0.007,0.005,0.095,0.84
9836,948.25,0,0.004,0,0,0.007,-0.604,0,0.007,0.005,0.094,0.904
9836,948.5,0,0.004,0,0.002,0.007,-0.677,0,0.007,0.005,0.075,0.993
9836,948.75,0,0.004,0,0,0.007,-0.765,0,0.007,0.005,0.009,1.06
9836,949,0,0.004,0,0,0.007,-0.754,0,0.007,0.005,0.03,1.107
9836,949.25,0,0.004,0.001,0,0.007,-0.449,0,0.007,0.005,0.096,1.149
9836,949.5,0,0.004,0.001,0,0.007,-0.543,0,0.007,0.005,0.096,1.189
9836,949.75,0,0.004,0.002,0.001,0.007,-0.468,0,0.377,0.005,0.09,1.22
9836,950,0,0.004,0,0,0.007,-0.968,0,0.007,0.005,0.028,1.24
9836,950.25,0,0.004,0,0,0.007,-1.001,0,0.007,0.005,0.008,1.258
9836,950.5,0,0.004,0,0,0.007,-1.002,0,0.007,0.005,0.029,1.271
9836,950.75,0,0.004,0.001,0,0.007,-0.927,0,0.007,0.005,0.096,1.274
9836,951,0,0.004,0,0,0.007,-0.891,0,0.007,0.005,0.102,1.274
9836,951.25,0,0.034,0,0,0.007,-0.917,0,0.007,0.005,0.04,1.268
9836,951.5,0,0.029,0,0,0.007,-1.01,0,0.007,0.005,0.04,1.262
